condition,label,seed,class_id,learning_order,mse
cl_no_replay,"CL, no replay",46,1,0,0.009610398672521114
cl_no_replay,"CL, no replay",46,7,1,0.016347266733646393
cl_no_replay,"CL, no replay",46,0,2,0.03790461644530296
cl_no_replay,"CL, no replay",46,2,3,0.039210349321365356
cl_no_replay,"CL, no replay",46,3,4,0.029342753812670708
cl_no_replay,"CL, no replay",46,4,5,0.019267383962869644
cl_no_replay,"CL, no replay",46,5,6,0.031418073922395706
cl_no_replay,"CL, no replay",46,6,7,0.035288888961076736
cl_no_replay,"CL, no replay",46,8,8,0.027142951264977455
cl_no_replay,"CL, no replay",46,9,9,0.010540965013206005
cl_no_replay,"CL, no replay",47,1,0,0.01037958636879921
cl_no_replay,"CL, no replay",47,7,1,0.01651669852435589
cl_no_replay,"CL, no replay",47,0,2,0.03975830599665642
cl_no_replay,"CL, no replay",47,2,3,0.03953016176819801
cl_no_replay,"CL, no replay",47,3,4,0.02912239171564579
cl_no_replay,"CL, no replay",47,4,5,0.020078344270586967
cl_no_replay,"CL, no replay",47,5,6,0.03139109909534454
cl_no_replay,"CL, no replay",47,6,7,0.03315311670303345
cl_no_replay,"CL, no replay",47,8,8,0.028452178463339806
cl_no_replay,"CL, no replay",47,9,9,0.010784211568534374
cl_no_replay,"CL, no replay",48,1,0,0.010314169339835644
cl_no_replay,"CL, no replay",48,7,1,0.017044395208358765
cl_no_replay,"CL, no replay",48,0,2,0.038459714502096176
cl_no_replay,"CL, no replay",48,2,3,0.04036328196525574
cl_no_replay,"CL, no replay",48,3,4,0.030191252008080482
cl_no_replay,"CL, no replay",48,4,5,0.020136121660470963
cl_no_replay,"CL, no replay",48,5,6,0.03213394433259964
cl_no_replay,"CL, no replay",48,6,7,0.033681683242321014
cl_no_replay,"CL, no replay",48,8,8,0.028120961040258408
cl_no_replay,"CL, no replay",48,9,9,0.010803109966218472
cl_no_replay,"CL, no replay",49,1,0,0.010180601850152016
cl_no_replay,"CL, no replay",49,7,1,0.0170747023075819
cl_no_replay,"CL, no replay",49,0,2,0.043254461139440536
cl_no_replay,"CL, no replay",49,2,3,0.04007473215460777
cl_no_replay,"CL, no replay",49,3,4,0.0320543497800827
